,state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year,yeildpercol
247,OK,3000.0,47.0,141000.0,69000.0,1.84,259000.0,2003,
248,OR,42000.0,51.0,2142000.0,964000.0,1.27,2720000.0,2003,
249,PA,27000.0,50.0,1350000.0,419000.0,1.44,1944000.0,2003,
250,SC,4000.0,70.0,280000.0,8000.0,1.89,529000.0,2003,
251,SD,215000.0,70.0,15050000.0,2709000.0,1.43,21522000.0,2003,
252,TN,6000.0,40.0,240000.0,46000.0,1.52,365000.0,2003,
253,TX,140000.0,67.0,9380000.0,1126000.0,1.4,13132000.0,2003,
254,UT,25000.0,57.0,1425000.0,157000.0,1.28,1824000.0,2003,
255,VT,7000.0,83.0,581000.0,163000.0,1.96,1139000.0,2003,
256,VA,6000.0,37.0,222000.0,69000.0,1.68,373000.0,2003,
257,WA,58000.0,56.0,3248000.0,942000.0,1.46,4742000.0,2003,
258,WV,8000.0,47.0,376000.0,194000.0,1.89,711000.0,2003,
259,WI,74000.0,77.0,5698000.0,2678000.0,1.47,8376000.0,2003,
260,WY,39000.0,81.0,3159000.0,474000.0,1.41,4454000.0,2003,
261,AL,12000.0,87.0,1044000.0,282000.0,1.41,1472000.0,2004,
262,AZ,32000.0,55.0,1760000.0,774000.0,1.11,1954000.0,2004,
263,AR,40000.0,57.0,2280000.0,388000.0,0.87,1984000.0,2004,
264,CA,390000.0,45.0,17550000.0,5792000.0,1.05,18428000.0,2004,
265,CO,23000.0,80.0,1840000.0,791000.0,1.35,2484000.0,2004,
266,FL,205000.0,98.0,20090000.0,2009000.0,1.02,20492000.0,2004,
267,GA,63000.0,49.0,3087000.0,648000.0,1.2,3704000.0,2004,
268,HI,8000.0,96.0,768000.0,77000.0,1.59,1221000.0,2004,
269,ID,100000.0,63.0,6300000.0,2520000.0,1.02,6426000.0,2004,
270,IL,7000.0,55.0,385000.0,193000.0,1.86,716000.0,2004,
271,IN,7000.0,59.0,413000.0,145000.0,1.47,607000.0,2004,
272,IA,35000.0,67.0,2345000.0,1337000.0,1.06,2486000.0,2004,
273,KS,14000.0,80.0,1120000.0,683000.0,1.18,1322000.0,2004,
274,KY,5000.0,56.0,280000.0,34000.0,1.96,549000.0,2004,
275,LA,35000.0,98.0,3430000.0,240000.0,0.79,2710000.0,2004,
276,ME,7000.0,31.0,217000.0,37000.0,1.28,278000.0,2004,
277,MI,65000.0,67.0,4355000.0,2439000.0,1.16,5052000.0,2004,
278,MN,135000.0,75.0,10125000.0,1924000.0,1.08,10935000.0,2004,
279,MS,18000.0,65.0,1170000.0,421000.0,0.79,924000.0,2004,
280,MO,16000.0,41.0,656000.0,151000.0,1.36,892000.0,2004,
281,MT,140000.0,77.0,10780000.0,3773000.0,1.08,11642000.0,2004,
282,NE,51000.0,89.0,4539000.0,2043000.0,1.01,4584000.0,2004,
283,NV,14000.0,55.0,770000.0,316000.0,1.78,1371000.0,2004,
284,NJ,12000.0,27.0,324000.0,45000.0,1.4,454000.0,2004,
285,NM,8000.0,44.0,352000.0,127000.0,1.19,419000.0,2004,
286,NY,64000.0,67.0,4288000.0,1887000.0,1.36,5832000.0,2004,
287,NC,9000.0,40.0,360000.0,72000.0,1.93,695000.0,2004,
288,ND,390000.0,78.0,30420000.0,9126000.0,1.05,31941000.0,2004,
289,OH,16000.0,58.0,928000.0,353000.0,1.53,1420000.0,2004,
290,OR,42000.0,54.0,2268000.0,1111000.0,1.21,2744000.0,2004,
291,PA,30000.0,54.0,1620000.0,810000.0,1.42,2300000.0,2004,
292,SD,215000.0,105.0,22575000.0,13545000.0,1.01,22801000.0,2004,
293,TN,6000.0,54.0,324000.0,91000.0,1.73,561000.0,2004,
294,TX,116000.0,76.0,8816000.0,1411000.0,0.97,8552000.0,2004,
295,UT,24000.0,70.0,1680000.0,554000.0,1.1,1848000.0,2004,
296,VT,6000.0,68.0,408000.0,192000.0,1.51,616000.0,2004,
297,VA,7000.0,38.0,266000.0,69000.0,2.1,559000.0,2004,
298,WA,56000.0,63.0,3528000.0,1376000.0,0.98,3457000.0,2004,
299,WV,9000.0,55.0,495000.0,183000.0,1.41,698000.0,2004,
300,WI,68000.0,86.0,5848000.0,2632000.0,1.19,6959000.0,2004,
301,WY,39000.0,75.0,2925000.0,380000.0,1.1,3218000.0,2004,
302,AL,13000.0,66.0,858000.0,266000.0,1.02,875000.0,2005,
303,AZ,36000.0,50.0,1800000.0,720000.0,1.04,1872000.0,2005,
304,AR,36000.0,69.0,2484000.0,571000.0,0.97,2409000.0,2005,
305,CA,400000.0,75.0,30000000.0,9300000.0,0.86,25800000.0,2005,
306,CO,28000.0,70.0,1960000.0,902000.0,0.97,1901000.0,2005,
307,FL,160000.0,86.0,13760000.0,2477000.0,0.87,11971000.0,2005,
